Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223107119,2.056259425,0.18696848,17.06170628,21.18339665,-3.858597892,-1.655890738,-5.875013791,-0.418843737,6.161619024,12.91308375,6.814224316,27.13850724,-6.828727173,-13.90165842,17.12805755,7.904919845,-4.743043369,-8.915590376,9.086771661,-18.01110874,0.687830688,-0.424770847,7.812573031,19.14548642,-12.41569319,8.378924442,9.062755354,-0.985625392,0.928927652,5.315477193,,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.013151224,0.024575271,0.009401115,0.015576924,,,0.001565217,-0.008126411,,0.032450496,0.247135743,0.005174216,,,,,,,,,,,,,,,,,,,,,1.232991023,1.280018763,3.575816135,4.364535244,3.414004444,1.935703036,0.455363653,0.451055983,1.203125109,0.293038432,0.284095594,0.234965141,0.209790107,0.849679315,0.483360246,0.255222411,0.612978578,0.122605763
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.883706872,2.086485073,1.803662496,1.095005676,3.680383595,3.308793892,1.472066849,1.493856279,1.960573064,-2.981627998,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.398993967,5.382318076,17.12159065,40.16725096,9.62386631,24.00911706,11.40619007,20.08101364,9.329241384,-3.526655479,-0.072001021,-1.368761628,1.896315051,3.136662133,-3.851110464,-2.704874717,-1.143768334,-5.208122718,2.510095009,8.630605234,-0.17752253,-6.057209206,-6.369877273,-4.33080862
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.066661599,4.893212106,2.817722808,2.925485967,2.815939523,2.103151282,1.767893909,1.282642375,4.108776037,5.285434537,3.104825701,3.172710425,4.750177407,3.259768342,3.654851781,6.108981586,9.682069946,11.17062673,9.138129797,8.135332974,7.45135734,9.816290193,8.693041027,8.690539128,8.805091261,7.855468033,7.951288907,7.91159178
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.462917802,-0.082709529,0.261360094,-0.791945283,-2.852315633,1.38822502,0.072691448,0.648719751,0.567549989,0.097295334,-0.493254904,1.779518016,2.945948645,1.534026477,1.588909093,0.485417314,0.670625989,0.027307204,0.388029038,0.287105578,0.503114767,0.503314422,0.772672548,0.951014414,1.055138384,0.059433173,0.65993916,1.52396851,1.696654181,0.466448299,0.544567444,1.283477227,0.880684261,1.721708253,2.223035682,3.894574116,4.953643563,5.0015115,4.314526588,4.242884907,3.343411221,1.814000863,1.854679481,1.477781942,1.095071235,1.025365856,1.347376921,1.215406595,1.229585833,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.108351028,0.257273417,0.451274584,0.16453683,0.206818389,0.223951383,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.22843531,0.050317964,0.239162943,0.721471949,0.105319789,0.608195467,0.408474867,0.294815986,0.340485312,-1.166835786,-0.485281533,1.14589217,0.086781366,3.422662713,6.767152113,6.034816039,5.765437532,5.500439718,1.604874609,0.447367364,3.035594892,2.039574748,2.55389516,2.503133911,2.746345355,2.387619324,2.690073033,2.685185459,2.45971482,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.430419501,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.338845892,1.039396769,0.51742271,-0.017100757,0.908825708,1.341390409,1.298881665,1.285578854,1.936712402,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.04464008,2.8066719,1.779205536,0.96240665,1.977134618,0.584749932,1.791961345,2.283805943,1.388688192
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188593629,0.066593791,0.608291621,1.724422857,1.100209269,3.168053675,12.27077974,6.612580778,5.450433166,3.298067417,4.659499749,4.376570097,6.909902013,5.96010634,7.307315032,7.252331977,8.092349209,8.788694552,5.716037845,6.440668367,4.676727878,3.111931481,3.502114247,1.744736992,3.164508221,2.176846777,2.040033301,1.861235768
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
